,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
2024-08-31,17.0,,,0.0,,,,,0.0,,337.0,0.0,2.0,,,,,112.0,702.0,9.0,0.0,30.0,,,,,45.0,,,,,189.0,28.0,,,,,0.0,,,3.0,0.0,3.0,,,,17.0,0.0,22.0,,1.0,39.0,,,,0.0,,3.0,0.0,,,,44.0,,0.0,0.0,,0.0,128.0,,,,,0.0,,264.0,,0.0,,,,408.0,,219.0,,0.0,,0.0,,,,,568.0,0.0,0.0,,,,,156.0,,,,,,0.0,,0.0,0.0,2.0,3.0,,,,0.0,5197.0,,,,0.0,1.0,,,
2024-09-30,46.0,,,0.0,,,,,0.0,,4.0,0.0,6.0,,,,,107.0,36.0,3.0,0.0,29.0,,,,,39.0,,,,,193.0,13.0,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,43.0,,6.0,31.0,,,,0.0,,13.0,0.0,,,,1248.0,,0.0,0.0,,0.0,164.0,,,,,0.0,,176.0,,0.0,,,,235.0,,157.0,,36.0,,0.0,,,,,746.0,0.0,0.0,,,,,89.0,,,,,,0.0,,0.0,1.0,0.0,0.0,,,,0.0,5314.0,,,,0.0,0.0,,,
2024-10-31,12.0,,,0.0,,,,,0.0,,3.0,0.0,2.0,,,,,109.0,126.0,6.0,0.0,30.0,,,,,67.0,,,,,185.0,41.0,,,,,0.0,,,0.0,0.0,0.0,,,,157.0,0.0,79.0,,25.0,74.0,,,,0.0,,17.0,0.0,,,,1202.0,,0.0,0.0,,0.0,182.0,,,,,0.0,,281.0,,0.0,,,,325.0,,171.0,,0.0,,0.0,,,,,1989.0,0.0,0.0,,,,,280.0,,,,,,0.0,,0.0,0.0,1.0,27.0,,,,0.0,4461.0,,,,0.0,0.0,,,
2024-11-30,21.0,,,0.0,,,,,0.0,,2.0,0.0,1.0,,,,,102.0,159.0,4.0,0.0,22.0,,,,,87.0,,,,,110.0,58.0,,,,,0.0,,,0.0,0.0,0.0,,,,134.0,0.0,37.0,,30.0,29.0,,,,0.0,,4.0,0.0,,,,1106.0,,0.0,0.0,,0.0,125.0,,,,,0.0,,152.0,,0.0,,,,248.0,,244.0,,0.0,,0.0,,,,,2477.0,0.0,0.0,,,,,106.0,,,,,,0.0,,0.0,1.0,2.0,3.0,,,,0.0,4165.0,,,,0.0,0.0,,,
2024-12-31,93.0,,,0.0,,,,,0.0,,0.0,0.0,15.0,,,,,129.0,31.0,2.0,0.0,35.0,,,,,61.0,,,,,275.0,77.0,,,,,0.0,,,0.0,0.0,0.0,,,,336.0,1.0,33.0,,4.0,25.0,,,,0.0,,1.0,0.0,,,,53.0,,0.0,0.0,,0.0,129.0,,,,,0.0,,172.0,,0.0,,,,171.0,,224.0,,0.0,,0.0,,,,,1489.0,0.0,0.0,,,,,189.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,1.0,5866.0,,,,0.0,1.0,,,
2025-01-31,14.0,,,0.0,,,,,0.0,,2.0,0.0,28.0,,,,,109.0,145.0,12.0,2.0,34.0,,,,,226.0,,,,,3699.0,5.0,,,,,0.0,,,0.0,2.0,0.0,,,,75.0,3.0,74.0,,0.0,36.0,,,,1.0,,13.0,0.0,,,,57.0,,0.0,0.0,,2.0,144.0,,,,,7.0,,240.0,,0.0,,,,613.0,,239.0,,2.0,,0.0,,,,,1086.0,5.0,0.0,,,,,114.0,,,,,,1.0,,0.0,0.0,5.0,3.0,,,,0.0,4589.0,,,,1.0,0.0,,,
2025-02-28,25.0,,,0.0,,,,,4.0,,6.0,1.0,15.0,,,,,80.0,125.0,17.0,0.0,30.0,,,,,28.0,,,,,483.0,2.0,,,,,2.0,,,0.0,0.0,1.0,,,,40.0,0.0,74.0,,1.0,18.0,,,,1.0,,21.0,3.0,,,,21.0,,1.0,0.0,,0.0,202.0,,,,,0.0,,165.0,,0.0,,,,383.0,,258.0,,3.0,,0.0,,,,,734.0,0.0,0.0,,,,,640.0,,,,,,2.0,,7.0,0.0,4.0,0.0,,,,0.0,4695.0,,,,0.0,0.0,,,
2025-03-31,8.0,,,1.0,,,,,0.0,,11.0,0.0,0.0,,,,,82.0,364.0,17.0,0.0,21.0,,,,,74.0,,,,,442.0,26.0,,,,,1.0,,,0.0,4.0,6.0,,,,39.0,5.0,83.0,,5.0,7.0,,,,0.0,,19.0,1.0,,,,27.0,,2.0,0.0,,2.0,144.0,,,,,0.0,,208.0,,2.0,,,,628.0,,361.0,,0.0,,1.0,,,,,751.0,0.0,5.0,,,,,530.0,,,,,,0.0,,0.0,1.0,6.0,0.0,,,,0.0,4314.0,,,,0.0,1.0,,,
2025-04-30,2.0,,,1.0,,,,,0.0,,15.0,0.0,67.0,,,,,98.0,183.0,16.0,0.0,28.0,,,,,77.0,,,,,131.0,21.0,,,,,0.0,,,0.0,1.0,1.0,,,,89.0,3.0,83.0,,12.0,9.0,,,,0.0,,11.0,0.0,,,,25.0,,0.0,5.0,,0.0,108.0,,,,,0.0,,246.0,,0.0,,,,798.0,,270.0,,2.0,,0.0,,,,,164.0,0.0,0.0,,,,,192.0,,,,,,0.0,,0.0,2.0,7.0,0.0,,,,1.0,4034.0,,,,0.0,0.0,,,
2025-05-31,0.0,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
